run_id,run_type,num_nodes,graph_type,density_category,density_value,generated_density,density_diff,var_degree_dist_value,generated_var_degree_dist,var_degree_dist_diff,tri_value,generated_tri,tri_diff,bipartite_value,generated_bipartite,bipartite_diff,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/8N_Bipartite/run_20250715_165138/Dense,Evaluation,8,Bipartite,Dense,0.311,0.2788,-0.0322,1.346,1.129,-0.217,0.0,1.1172,1.1172,100.0,34.9609,-65.0391,0.0,25.7812,100.0,68.9453
evaluation_results/8N_Bipartite/run_20250715_165138/Medium,Evaluation,8,Bipartite,Medium,0.2887,0.3066,0.0179,1.2809,1.0889,-0.192,0.0,1.3672,1.3672,100.0,31.6406,-68.3594,0.1953,31.0547,100.0,76.9531
evaluation_results/8N_Bipartite/run_20250715_165138/Sparse,Evaluation,8,Bipartite,Sparse,0.2256,0.2539,0.0283,1.0013,1.061,0.0597,0.0,0.9766,0.9766,100.0,48.6328,-51.3672,0.1953,45.5078,100.0,59.7656
evaluation_results/8N_ER/run_20250709_142102/Dense,Evaluation,8,ER,Dense,0.7618,0.663,-0.0988,1.1482,1.2091,0.0609,24.365,16.4883,-7.8767,0.0,0.0,0.0,0.0,27.1484,99.8047,87.1094
evaluation_results/8N_ER/run_20250709_142102/Medium,Evaluation,8,ER,Medium,0.442,0.4648,0.0228,1.4612,1.3302,-0.131,4.31,5.5312,1.2213,0.5,1.9531,1.4531,0.0,3.5156,100.0,97.2656
evaluation_results/8N_ER/run_20250709_142102/Sparse,Evaluation,8,ER,Sparse,0.2207,0.3138,0.093,1.083,1.1675,0.0845,0.565,1.8652,1.3002,51.5,25.7812,-25.7188,0.0,31.6406,100.0,77.5391
evaluation_results/10N_Bipartite/run_20250716_095712/Dense,Evaluation,10,Bipartite,Dense,0.347,0.2871,-0.0599,2.2078,1.5313,-0.6765,0.0,2.6445,2.6445,100.0,12.3047,-87.6953,0.0,0.3906,100.0,99.2188
evaluation_results/10N_Bipartite/old_hpo1/Medium,Evaluation,10,Bipartite,Medium,0.2307,0.2421,0.0114,1.715,1.3246,-0.3904,0.0,1.166,1.166,100.0,43.1641,-56.8359,0.0,14.0625,100.0,93.1641
evaluation_results/10N_Bipartite/old_hpo1/Sparse,Evaluation,10,Bipartite,Sparse,0.1771,0.1815,0.0044,1.1461,1.1058,-0.0403,0.0,0.4844,0.4844,100.0,65.2344,-34.7656,0.0,53.125,100.0,83.2031
evaluation_results/old/legacy_run_params_10N_ER_Dense_LR0.031248086322939895_SIGMA0.7735621474524553_INIT0.42238728842048007_NUMLAYERS2,Evaluation,10,ER,Dense,0.7884,0.7216,-0.0668,1.4612,1.4788,0.0176,58.654,45.0859,-13.5681,0.0,0.0,0.0,0.0,5.2734,100.0,99.0234
evaluation_results/old/legacy_run_params_10N_ER_Medium_LR0.007216520881270238_SIGMA0.6960408118792989_INIT0.893668244257591_NUMLAYERS1,Evaluation,10,ER,Medium,0.438,0.4573,0.0192,2.1395,1.8057,-0.3338,9.988,11.5566,1.5686,0.2,0.0,-0.2,0.0,0.0,100.0,100.0
evaluation_results/10N_ER/run_20250716_103917/Sparse,Evaluation,10,ER,Sparse,0.1919,0.2476,0.0557,1.333,1.4334,0.1005,0.842,1.9375,1.0955,33.8,17.9688,-15.8313,0.0,12.8906,100.0,96.0938
evaluation_results/14N_Bipartite/run_20250716_213333/Dense,Evaluation,14,Bipartite,Dense,0.3727,0.4961,0.1234,4.3872,3.7469,-0.6403,0.0,44.3398,44.3398,100.0,0.0,-100.0,0.0,0.0,100.0,100.0
evaluation_results/14N_Bipartite/run_20250716_213333/Medium,Evaluation,14,Bipartite,Medium,0.2084,0.2471,0.0386,2.7295,2.2096,-0.5199,0.0,5.668,5.668,100.0,0.7812,-99.2188,0.0,0.0,100.0,100.0
evaluation_results/old/legacy_run_params_14N_Bipartite_Sparse_LR0.0009135637795619795_SIGMA1.0260396574720994_INIT0.2960938093789271_NUMLAYERS3,Evaluation,14,Bipartite,Sparse,0.1042,0.2395,0.1353,1.2634,2.1553,0.8918,0.0,5.1445,5.1445,100.0,0.5859,-99.4141,0.0,0.0,100.0,100.0
evaluation_results/14N_ER/run_20250716_212010/Dense,Evaluation,14,ER,Dense,0.8145,0.7186,-0.0959,2.4347,2.342,-0.0927,199.41,135.8848,-63.5252,0.0,0.0,0.0,0.0,0.0,100.0,100.0
evaluation_results/old/legacy_run_params_14N_ER_Medium_LR0.020808717745815757_SIGMA0.8897430791197918_INIT0.6417265067371234_NUMLAYERS3,Evaluation,14,ER,Medium,0.4487,0.4779,0.0291,3.3625,2.7629,-0.5996,33.358,39.832,6.474,0.0,0.0,0.0,0.0,0.0,100.0,100.0
evaluation_results/14N_ER/run_20250716_212010/Sparse,Evaluation,14,ER,Sparse,0.1575,0.2758,0.1183,1.9375,2.3363,0.3988,1.635,7.8066,6.1716,27.9,0.0,-27.9,0.0,0.0,100.0,100.0
evaluation_results/18N_Bipartite/old_hpo1/Dense,Evaluation,18,Bipartite,Dense,0.3697,0.4213,0.0517,8.1728,4.9925,-3.1803,0.0,61.6465,61.6465,100.0,0.0,-100.0,0.0,0.0,100.0,100.0
evaluation_results/18N_Bipartite/old_hpo1/Medium,Evaluation,18,Bipartite,Medium,0.1967,0.2413,0.0445,4.0951,3.4942,-0.6009,0.0,9.6133,9.6133,100.0,0.1953,-99.8047,0.0,0.0,100.0,100.0
evaluation_results/18N_Bipartite/old_hpo1 copy/Sparse,Evaluation,18,Bipartite,Sparse,0.0747,0.1005,0.0258,1.3631,1.7451,0.3821,0.0,1.1934,1.1934,100.0,25.7812,-74.2188,0.0,2.3438,100.0,100.0
evaluation_results/old/legacy_run_params_18N_ER_Dense_LR0.0024122980321321335_SIGMA0.8605456674562558_INIT1.001744809410076_NUMLAYERS1,Evaluation,18,ER,Dense,0.8255,0.7238,-0.1016,3.5899,3.1327,-0.4572,467.49,310.0586,-157.4314,0.0,0.0,0.0,0.0,0.0,100.0,100.0
evaluation_results/18N_ER/run_20250717_121147/Medium,Evaluation,18,ER,Medium,0.4428,0.4454,0.0026,4.94,3.7452,-1.1949,73.941,72.0234,-1.9176,0.0,0.0,0.0,0.0,0.0,100.0,100.0
evaluation_results/old/legacy_run_params_18N_ER_Sparse_LR0.0018098218999634472_SIGMA0.7869622729288522_INIT0.7815394432771323_NUMLAYERS2,Evaluation,18,ER,Sparse,0.1497,0.2894,0.1397,2.8535,3.3019,0.4485,3.64,20.3535,16.7135,17.7,0.0,-17.7,0.0,0.0,100.0,100.0
